Concepts,OccurenciesInDocs,Dates
television,4735,1/1/1999
health,4641,12/31/1999
information,4548,1/1/2000
mission,3850,12/31/2000
Consumer Protection,3367,1/1/2001
food,2872,12/31/2001
EUROPEAN COMMISSION,2669,1/1/2002
commission,2625,1/31/2002
report,2449,2/1/2002
business,2306,2/28/2002
interest,2276,3/1/2002
analysis,2203,3/31/2002
education,2113,4/1/2002
director,2105,4/30/2002
office,2027,5/1/2002
price,1990,5/31/2002
show,1900,6/1/2002
music,1887,6/30/2002
company,1876,7/1/2002
authority,1863,7/31/2002
animal,1836,8/1/2002
share,1771,8/31/2002
development,1704,9/1/2002
Mission report,1667,9/30/2002
financial statements,1648,10/1/2002
reference number,1596,10/31/2002
prospectus,1574,11/1/2002
stock,1542,11/30/2002
Veterinary Office,1528,12/1/2002
protection,1483,12/31/2002
prospectus supplement,1370,1/1/2003
product,1345,1/31/2003
final,1343,2/1/2003
project,1296,2/28/2003
principal amount,1265,3/1/2003
competent authority,1261,3/31/2003
technology,1236,4/1/2003
management,1219,4/30/2003
final report,1196,5/1/2003
payment,1170,5/31/2003
consumer,1168,12/16/2009
note,1164,2/26/2014
Undergraduate Colleges,1140,8/26/2013
control,1138,6/8/2010
income,1134,5/28/2009
statement,1122,1/18/2002
income tax,1096,6/30/2014
university,1074,6/30/2012
directive,1037,12/13/2005
rate,1035,4/1/2001
inspection team,1018,11/30/2003
undergraduate,1013,5/15/2005
security,1008,1/15/2009
service,1007,11/20/2012
mission team,1005,5/20/2016
movie,1000,4/24/2013
action,989,7/1/2011
government,935,3/20/2008
Pop CDs,933,2/1/2015
colleges,924,4/20/2008
public health,901,8/28/2005
assessment,886,5/20/2008
status,863,3/29/2005
program,863,6/20/2008
option,861,8/1/2014
veterinary,854,10/30/2012
meeting,843,10/30/2016
draft report,838,11/1/2008
nstein,831,9/1/2014
inspection,793,9/1/2012
movies,792,3/15/2013
state,778,11/1/2011
plan,770,7/1/2011
consolidated financial statements,740,9/10/2006
competent authorities,730,10/1/2008
decision,727,10/1/2013
system,723,12/1/2010
treatment,716,6/13/2006
research,713,2/10/2012
training,711,12/15/2011
loan,688,1/1/2024
market,676,10/15/2013
document,669,4/1/2006
reality,666,4/15/2014
experience,666,5/20/2017
drama,654,7/19/2010
establishment,652,12/15/2005
action items,647,9/25/2003
net income,642,11/6/2003
disease,633,5/25/2011
policy,618,6/1/2019
community,610,6/15/2013
health care,609,9/28/2006
reality shows,607,11/15/2010
enron,607,12/8/2013
principal,604,6/29/2012
certificate,599,5/1/2007
financial,589,5/1/2017
agreement,589,11/15/2013
interest rate,588,6/15/2005
meat,586,1/1/1998
article,570,12/31/1998
school,565,1/1/1999
animal health,556,12/31/1999
data,551,1/1/2000
telephone,549,12/31/2000
e-mail,548,1/1/2001
fair value,542,12/31/2001
comments,539,1/1/2002
action plan,537,1/31/2002
programme,529,2/1/2002
money,529,2/28/2002
principal balance,522,3/1/2002
design,518,3/31/2002
trust,510,4/1/2002
income taxes,507,4/30/2002
holder,504,5/1/2002
power,501,5/31/2002
federal income,500,6/1/2002
series,499,6/30/2002
property,498,7/1/2002
Office Park,494,7/31/2002
family,492,8/1/2002
Publications Office,491,8/31/2002
services,488,9/1/2002
legislation,482,9/30/2002
period,481,10/1/2002
mortgage,476,10/31/2002
game,473,11/1/2002
Graduate Schools,469,11/30/2002
bovine,469,12/1/2002
preferred stock,463,12/31/2002
risk,460,1/1/2003
exchange,453,1/31/2003
support,450,2/1/2003
recommendations,450,2/28/2003
construction,450,3/1/2003
supplement,448,3/31/2003
plant,442,4/1/2003
mortgage loans,442,4/30/2003
registration statement,439,5/1/2003
distribution,439,5/31/2003
l'annexe,438,12/16/2009
music videos,437,2/26/2014
graduate,431,8/26/2013
Comedy Movies,425,6/8/2010
European Union,421,5/28/2009
tax,420,1/18/2002
safety,420,6/30/2014
subject,416,6/30/2012
patient,414,12/13/2005
comedy shows,413,4/1/2001
equipment,408,11/30/2003
group,404,5/15/2005
testing,400,1/15/2009
recommendation,400,11/20/2012
paragraphe,400,5/20/2016
internet,400,4/24/2013
companies,398,7/1/2011
fax,397,3/20/2008
sales,396,2/1/2015
mailbox,396,4/20/2008
population,394,8/28/2005
debt securities,394,5/20/2008
member,393,3/29/2005
tv,390,6/20/2008
risk assessment,390,8/1/2014
evaluation,390,10/30/2012
home,385,10/30/2016
page,384,11/1/2008
permanent,377,9/1/2014
federal income tax,377,9/1/2012
monitoring,370,3/15/2013
national,369,11/1/2011
mental health,368,7/1/2011
feed ban,368,9/10/2006
products,361,10/1/2008
team,358,10/1/2013
operation,358,12/1/2010
sheila,357,6/13/2006
political,357,2/10/2012
activity,357,12/15/2011
feed,352,1/1/2024
debt,351,10/15/2013
responsibility,346,4/1/2006
quality,344,4/15/2014
exercise,344,5/20/2017
production,343,7/19/2010
exchange offer,342,12/15/2005
class,342,9/25/2003
employee,341,11/6/2003
response,339,5/25/2011
table,338,6/1/2019
real estate,338,6/15/2013
fishery products,338,9/28/2006
technical,337,11/15/2010
cash flows,335,12/8/2013
countries,334,6/29/2012
internal,333,5/1/2007
hygiene,333,5/1/2017
business schools,333,11/15/2013
gas,332,6/15/2005
mental,331,1/1/1998
industry,329,12/31/1998
